2018-07-27 10:01:48 status unpacked sysvinit-utils:armhf 2.88dsf-59.9
2018-07-27 10:01:48 status unpacked sysvinit-utils:armhf 2.88dsf-59.9
2018-07-27 10:01:49 install tar:armhf <none> 1.29b-1.1
2018-07-27 10:01:49 status half-installed tar:armhf 1.29b-1.1
2018-07-27 10:01:50 status unpacked tar:armhf 1.29b-1.1
2018-07-27 10:01:50 status unpacked tar:armhf 1.29b-1.1
2018-07-27 10:01:50 install tzdata:all <none> 2018e-0+deb9u1
2018-07-27 10:01:50 status half-installed tzdata:all 2018e-0+deb9u1
2018-07-27 10:01:52 status unpacked tzdata:all 2018e-0+deb9u1
2018-07-27 10:01:52 status unpacked tzdata:all 2018e-0+deb9u1
2018-07-27 10:01:52 install libustr-1.0-1:armhf <none> 1.0.4-6
2018-07-27 10:01:52 status half-installed libustr-1.0-1:armhf 1.0.4-6
2018-07-27 10:01:52 status unpacked libustr-1.0-1:armhf 1.0.4-6
2018-07-27 10:01:52 status unpacked libustr-1.0-1:armhf 1.0.4-6
2018-07-27 10:01:53 install bsdutils:armhf <none> 1:2.29.2-1+deb9u1
2018-07-27 10:01:53 status half-installed bsdutils:armhf 1:2.29.2-1+deb9u1
2018-07-27 10:01:53 status unpacked bsdutils:armhf 1:2.29.2-1+deb9u1
2018-07-27 10:01:53 status unpacked bsdutils:armhf 1:2.29.2-1+deb9u1
2018-07-27 10:01:53 install libblkid1:armhf <none> 2.29.2-1+deb9u1
2018-07-27 10:01:53 status half-installed libblkid1:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:54 status unpacked libblkid1:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:54 status unpacked libblkid1:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:54 install libfdisk1:armhf <none> 2.29.2-1+deb9u1
2018-07-27 10:01:54 status half-installed libfdisk1:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:54 status unpacked libfdisk1:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:54 status unpacked libfdisk1:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:55 install libmount1:armhf <none> 2.29.2-1+deb9u1
2018-07-27 10:01:55 status half-installed libmount1:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:55 status unpacked libmount1:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:55 status unpacked libmount1:armhf 2.29.2-1+deb9u1
